"X","all","all_genus","mam","mam_genus","amph","amph_genus","rep","rep_genus","tree_height","tree_density","elevation","temp","precip","ID","country","island","BGR","vert_all","mam_all","amp_all","rep_all","x","y"
13073,3,3,0,0,3,3,0,0,33.1670417785645,52668.30859375,177.39892578125,25.4164413452148,287.359283447266,11,"Colombia",NA,22,387,166,69,152,-69.7906,0.806622507
13074,4,4,0,0,3,3,1,1,15.3774499893188,27815.2734375,3.94740414619446,26.1862518310547,152.07194519043,12,"Venezuela","Orinoco Delta",22,270,157,29,84,-61.3506,9.59662250700001
13075,4,4,0,0,3,3,1,1,28.96181,41719.79,56.77132,26.99236,165.9359,51,"Brazil",NA,22,389,166,72,151,-62.7906,0.656622507000009
13076,6,5,0,0,4,4,2,1,28.42211,46905.62,55.04996,26.7205,224.3493,51,"Brazil",NA,22,414,168,86,160,-62.4706,-2.45337749299999
13077,3,3,0,0,2,2,1,1,33.82353,42763.37,96.28324,26.50869,170.7663,51,"Brazil",NA,22,307,135,45,127,-46.5306,-2.673377493
13078,5,5,0,0,4,4,1,1,38.29423,40207.5,184.9516,25.40524,202.6666,51,"Brazil",NA,22,442,181,109,152,-69.4506,-7.583377493
13079,4,4,0,0,3,3,1,1,37.10945,48442.54,253.8079,25.42265,141.6886,63,"Guyana",NA,22,371,185,58,128,-60.7106,6.70662250700001
13080,5,5,0,0,4,4,1,1,37.7976,43764.35,182.0955,25.58512,204.6507,51,"Brazil",NA,22,435,181,104,150,-71.3606,-5.95337749299999
13081,4,4,0,0,3,3,1,1,27.42531,48975.52,444.2365,24.07304,137.6702,63,"Guyana",NA,22,402,188,67,147,-59.4906,4.426622507
13082,3,3,0,0,3,3,0,0,25.81761,31861.02,320.2551,25.22006,198.4092,51,"Brazil",NA,22,314,119,48,147,-53.4506,-10.303377493
13083,4,4,0,0,3,3,1,1,33.41714,36864.65,184.2079,25.82089,133.6924,51,"Brazil",NA,22,388,152,89,147,-64.2906,-11.583377493
13084,4,4,0,0,3,3,1,1,26.4532203674316,41259.7890625,102.748870849609,26.8354034423828,254.701797485352,30,"Venezuela",NA,22,397,182,70,145,-66.1706,1.20662250700001
13085,6,5,0,0,4,4,2,1,32.51911,47339.6,70.2798,26.48959,174.1456,51,"Brazil",NA,22,432,176,92,164,-63.7406,-4.083377493
13086,4,4,0,0,3,3,1,1,27.33451,46714.25,45.39597,27.11252,210.828,51,"Brazil",NA,22,422,172,85,165,-60.8006,-1.783377493
13087,4,4,0,0,3,3,1,1,26.54486,39259.23,196.5573,23.86141,133.7425,51,"Brazil",NA,22,366,149,77,140,-61.5606,-12.903377493
13088,4,4,0,0,3,3,1,1,36.3652801513672,50132.5078125,115.372047424316,25.9193756103516,206.129669189453,8,"French Guiana",NA,22,401,181,83,137,-54.0206,4.496622507
13089,4,4,0,0,3,3,1,1,11.2277641296387,51747.05859375,6.34764289855957,26.2288726806641,153.499206542969,12,"Venezuela","Orinoco Delta",22,276,155,31,90,-61.4706,9.176622507
13090,4,4,0,0,3,3,1,1,35.76047,36207.06,249.3437,25.55812,196.406,51,"Brazil",NA,22,354,133,70,151,-54.9106,-7.15337749299999
13091,3,3,0,0,3,3,0,0,35.45863,39555.94,100.2694,25.53669,185.8388,51,"Brazil",NA,22,382,148,85,149,-60.4106,-8.893377493
13092,4,4,0,0,3,3,1,1,31.23067,36871.43,285.301,24.87612,168.1346,51,"Brazil",NA,22,354,134,69,151,-53.1106,-6.73337749299999
13093,5,5,0,0,4,4,1,1,30.65857,48341.43,106.7822,26.18981,222.8361,51,"Brazil",NA,22,440,176,102,162,-66.3806,-4.87337749299999
13094,3,3,0,0,3,3,0,0,25.0802574157715,40816.8046875,97.9250335693359,26.9027191162109,258.247924804688,11,"Colombia",NA,22,397,186,68,143,-66.9806,1.226622507
13095,5,5,0,0,4,4,1,1,36.64584,43340.4,132.6162,25.60772,218.7199,51,"Brazil",NA,22,454,184,108,162,-70.0506,-5.083377493
13096,5,5,0,0,4,4,1,1,36.30862,49613.81,136.29,25.6075,219.5426,51,"Brazil",NA,22,469,175,129,165,-69.7706,-3.54337749299999
13097,5,5,0,0,4,4,1,1,27.24653,48160.54,45.99766,26.45367,223.9763,51,"Brazil",NA,22,432,174,93,165,-63.9706,-5.033377493
13098,1,1,0,0,1,1,0,0,9.872354,92218.29,653.4163,24.81737,70.06535,51,"Brazil",NA,22,239,111,27,101,-43.4106,-9.04337749299999
13099,4,4,0,0,3,3,1,1,35.94992,46765.48,52.61619,26.89943,187.606,51,"Brazil",NA,22,411,166,87,158,-58.7606,-4.26337749299999
13100,4,4,0,0,3,3,1,1,35.28005,40771.8,183.2257,25.30127,145.6024,51,"Brazil",NA,22,376,145,76,155,-53.7506,-4.923377493
13101,5,5,0,0,4,4,1,1,38.90802,46199.53,212.6004,25.49301,203.6073,51,"Brazil",NA,22,437,189,106,142,-72.1606,-6.73337749299999
13102,4,4,0,0,3,3,1,1,20.2112,44443.87,47.35879,26.7266,204.9189,51,"Brazil",NA,22,401,168,75,158,-63.8806,-0.703377492999991
13103,5,5,0,0,4,4,1,1,36.67026,41529.7,180.7831,25.48509,208.155,51,"Brazil",NA,22,441,180,103,158,-69.2906,-6.163377493
13104,6,5,0,0,4,4,2,1,18.95578,47485.98,41.18104,26.8382,224.2761,51,"Brazil",NA,22,425,171,90,164,-64.5006,-3.033377493
13105,5,5,0,0,4,4,1,1,37.65318,39791.71,188.6295,25.2725,200.4568,51,"Brazil",NA,22,438,179,108,151,-69.3906,-8.023377493
13106,6,5,0,0,4,4,2,1,16.2176,48619.38,35.40804,26.54822,209.5075,51,"Brazil",NA,22,429,174,91,164,-62.7606,-3.613377493
13107,4,4,0,0,3,3,1,1,29.80013,43162.03,87.07433,26.11855,184.5849,51,"Brazil",NA,22,430,165,100,165,-63.5706,-8.193377493
13108,4,4,0,0,3,3,1,1,34.25633,41710.11,127.6966,26.0611,162.7543,51,"Brazil",NA,22,423,171,97,155,-64.7906,-9.003377493
13109,4,4,0,0,3,3,1,1,34.73481,40390.1,295.9678,25.62338,200.1912,51,"Brazil",NA,22,375,143,79,153,-55.4506,-5.81337749299999
13110,4,4,0,0,3,3,1,1,35.86771,49961.12,327.2016,25.63214,200.2254,74,"Suriname",NA,22,414,184,82,148,-56.8406,3.776622507
13111,4,4,0,0,3,3,1,1,30.04972,42756.34,237.3183,25.57969,181.8893,51,"Brazil",NA,22,381,170,63,148,-63.6106,1.15662250700001
13112,3,3,0,0,3,3,0,0,32.2893142700195,39018.421875,179.644866943359,25.7846771240234,275.993804931641,11,"Colombia",NA,22,361,160,60,141,-69.0206,1.93662250700001
13113,6,5,0,0,4,4,2,1,30.79437,48110.73,64.6387,26.60713,220.5088,51,"Brazil",NA,22,414,166,89,159,-63.7806,-2.70337749299999
13114,4,4,0,0,3,3,1,1,34.7875366210938,42700.25390625,422.560119628906,25.5095458984375,224.450942993164,30,"Venezuela",NA,22,337,182,44,111,-67.1706,5.756622507
13115,4,4,0,0,3,3,1,1,33.22998,39271.25,221.2236,25.19866,164.1027,51,"Brazil",NA,22,357,133,73,151,-53.8406,-5.95337749299999
13116,5,5,0,0,4,4,1,1,27.99608,41496.12,82.96919,26.211,186.2271,51,"Brazil",NA,22,428,170,94,164,-63.9506,-7.853377493
13117,5,5,0,0,4,4,1,1,32.8861312866211,50078.90625,100.379570007324,26.0115295410156,258.807525634766,11,"Colombia",NA,22,436,177,94,165,-70.8206,-2.073377493
13118,5,5,0,0,4,4,1,1,33.39655,49613.38,77.47516,25.56683,239.6124,51,"Brazil",NA,22,437,179,95,163,-66.4806,-2.833377493
13119,4,4,0,0,3,3,1,1,37.11096,47979.93,288.2345,25.27743,164.7677,51,"Brazil",NA,22,412,168,78,166,-53.4406,-0.863377493000002
13120,5,5,0,0,4,4,1,1,31.3744,52967.15,127.5243,25.49476,291.6364,51,"Brazil",NA,22,406,163,86,157,-69.0306,-1.443377493
13121,5,5,0,0,4,4,1,1,36.58765,40177.18,154.7044,25.50164,214.7195,51,"Brazil",NA,22,435,177,102,156,-68.1306,-7.353377493
13122,4,4,0,0,3,3,1,1,34.22272,38242.38,247.7787,25.13029,161.5696,51,"Brazil",NA,22,369,142,74,153,-53.8906,-5.743377493
13123,4,4,0,0,3,3,1,1,35.28586,43563.83,116.8395,26.51398,191.095,51,"Brazil",NA,22,394,155,86,153,-59.2906,-5.98337749299999
13124,5,5,0,0,4,4,1,1,40.43444,42552.76,258.6039,25.49908,166.9237,51,"Brazil",NA,22,444,189,114,141,-71.7906,-8.143377493
13125,4,4,0,0,3,3,1,1,26.42921,41329.5,60.23882,27.26277,150.2303,51,"Brazil",NA,22,403,175,72,156,-61.1306,1.636622507
13126,5,5,0,0,4,4,1,1,37.01234,43507.64,192.4566,25.61434,206.7663,51,"Brazil",NA,22,445,194,107,144,-71.5806,-6.95337749299999
13127,4,4,0,0,3,3,1,1,35.93571,48240.61,157.4629,25.67876,138.7087,51,"Brazil",NA,22,413,166,81,166,-53.2806,-3.003377493
13128,4,4,0,0,3,3,1,1,41.3653,47420.16,177.3314,25.52882,203.5426,51,"Brazil",NA,22,406,177,83,146,-52.6106,1.87662250700001
13129,5,5,0,0,4,4,1,1,30.96499,35773.52,61.67095,25.80567,242.2919,51,"Brazil",NA,22,418,176,85,157,-66.0806,-1.973377493
13130,3,3,0,0,3,3,0,0,30.60043,40316.2,73.19412,26.12485,195.3507,51,"Brazil",NA,22,410,161,88,161,-61.8406,-7.643377493
13131,4,4,0,0,3,3,1,1,34.45943,44608.28,130.2831,26.78711,190.4522,51,"Brazil",NA,22,413,169,80,164,-56.5006,-4.113377493
13132,3,3,0,0,3,3,0,0,32.88872,35799.28,174.1871,25.85151,192.2885,51,"Brazil",NA,22,351,136,75,140,-57.5306,-8.87337749299999
13133,5,5,0,0,4,4,1,1,36.31688,43761.51,143.3815,25.88971,203.0133,51,"Brazil",NA,22,442,184,109,149,-72.0206,-5.663377493
13134,3,3,0,0,3,3,0,0,31.7329406738281,46276.56640625,188.964874267578,26.0882690429688,265.244781494141,11,"Colombia",NA,22,359,161,59,139,-69.4406,2.43662250700001
13135,5,5,0,0,4,4,1,1,32.34479,51174.83,108.181,25.41938,257.3747,51,"Brazil",NA,22,432,177,92,163,-67.8106,-2.803377493
13136,4,4,0,0,3,3,1,1,31.9315738677979,49960.30078125,233.111709594727,25.6732696533203,228.273590087891,11,"Colombia",NA,22,392,178,77,137,-75.0306,0.526622506999999
13137,4,4,0,0,3,3,1,1,35.38369,48993.61,122.769,26.51212,184.0739,74,"Suriname",NA,22,409,187,81,141,-55.7106,4.76662250700001
13138,4,4,0,0,3,3,1,1,33.78445,47520.74,102.6883,26.6261,201.8088,63,"Guyana",NA,22,416,193,73,150,-58.1606,4.896622507
13139,4,4,0,0,3,3,1,1,20.77576,45173.32,36.38963,26.7014,212.4795,51,"Brazil",NA,22,405,169,78,158,-63.3406,-1.54337749299999
13140,3,3,0,0,3,3,0,0,31.2761878967285,45998.6875,192.429763793945,26.5648010253906,236.003967285156,11,"Colombia",NA,22,338,159,47,132,-70.6306,2.676622507
13141,4,4,0,0,3,3,1,1,34.95185,23578.51,357.5748,24.40485,180.3462,51,"Brazil",NA,22,403,148,97,158,-63.5406,-10.753377493
13142,4,4,0,0,3,3,1,1,34.82271,48235.31,146.1359,26.86537,173.9288,51,"Brazil",NA,22,414,169,81,164,-57.9406,-2.003377493
